species,decimallongitude,decimallatitude
Ochotona_princeps,-119.6322,48.8211
Ochotona_princeps,-119.59505,38.16908
Ochotona_princeps,-119.5028,50.2259
Ochotona_princeps,-119.50227,37.84744
Ochotona_princeps,-119.4192111,54.07723333
Ochotona_princeps,-119.39498,37.87941
Ochotona_princeps,-119.373384,37.717984
Ochotona_princeps,-119.273385,37.972866
Ochotona_princeps,-119.267171,38.451255
Ochotona_princeps,-119.25506,37.76807
Ochotona_princeps,-119.1811,37.86653
Ochotona_princeps,-119.1646659,37.6115481
Ochotona_princeps,-119.15,53.1333
Ochotona_princeps,-119.01162,38.211724
Ochotona_princeps,-118.999614,37.630973
Ochotona_princeps,-118.96647,37.126209
Ochotona_princeps,-118.84079,36.711143
Ochotona_princeps,-118.7975,38.48806
Ochotona_princeps,-118.75,36.98
Ochotona_princeps,-118.72917,41.66194
Ochotona_princeps,-118.71453,36.658459
Ochotona_princeps,-118.6933,37.1686
Ochotona_princeps,-118.685282,44.306939
Ochotona_princeps,-118.5617,42.6784
Ochotona_princeps,-118.525691,37.1044343
Ochotona_princeps,-118.5167,50.1
Ochotona_princeps,-118.4783,48.6075
Ochotona_princeps,-118.4167,44.8094
Ochotona_princeps,-118.34201,36.77061
Ochotona_princeps,-118.30806,37.90111
Ochotona_princeps,-118.25834,37.62909
Ochotona_princeps,-118.25311,37.753348
Ochotona_princeps,-118.2113694,44.94543333
Ochotona_princeps,-118.20771,36.48861
Ochotona_princeps,-118.168469,37.53385
Ochotona_princeps,-118.133606,36.25278
Ochotona_princeps,-118.099737,37.432159
Ochotona_princeps,-117.3689,44.9822
Ochotona_princeps,-117.3669,45.2558
Ochotona_princeps,-117.3534056,38.87733333
Ochotona_princeps,-117.3006,45.1636
Ochotona_princeps,-117.2772028,45.06099167
Ochotona_princeps,-117.2155,45.2674
Ochotona_princeps,-117.1308,48.7969
Ochotona_princeps,-117.1014,47.8706
Ochotona_princeps,-116.9260917,38.72520833
Ochotona_princeps,-116.8272,48.2772
Ochotona_princeps,-116.5825472,45.187025
Ochotona_princeps,-116.5746694,48.63142222
Ochotona_princeps,-116.5457278,52.06415556
Ochotona_princeps,-115.92,48.94
Ochotona_princeps,-115.7297,47.5167
Ochotona_princeps,-115.6933,45.6203
Ochotona_princeps,-115.4318806,43.61339167
Ochotona_princeps,-115.3932083,40.57883056
Ochotona_princeps,-115.1992,46.1469
Ochotona_princeps,-115.085,41.02667
Ochotona_princeps,-114.98333,50.59722
Ochotona_princeps,-114.980901,46.98237601
Ochotona_princeps,-114.8583,43.9153
Ochotona_princeps,-114.837,45.6172
Ochotona_princeps,-114.8333,49.7
Ochotona_princeps,-114.7272,43.9226
Ochotona_princeps,-114.6833,49.6333
Ochotona_princeps,-114.50515,46.1196
Ochotona_princeps,-114.4362,48.58712
Ochotona_princeps,-114.3641,46.6859
Ochotona_princeps,-114.333719,47.11920798
Ochotona_princeps,-114.2832139,46.03495
Ochotona_princeps,-114.122995,45.24820701
Ochotona_princeps,-113.8999056,44.307175
Ochotona_princeps,-113.7794,46.5277
Ochotona_princeps,-113.7033,44.1569
Ochotona_princeps,-113.68021,45.3484
Ochotona_princeps,-113.6293,46.5734
Ochotona_princeps,-113.5815,43.452
Ochotona_princeps,-113.4283,48.744
Ochotona_princeps,-113.3823,46.8622
Ochotona_princeps,-113.04694,37.43167
Ochotona_princeps,-113.03857,37.54886
Ochotona_princeps,-112.9929,47.6227
Ochotona_princeps,-112.84407,37.65016
Ochotona_princeps,-112.8161,47.5159
Ochotona_princeps,-112.7207,47.6181
Ochotona_princeps,-112.67297,37.52415
Ochotona_princeps,-112.46195,38.23505
Ochotona_princeps,-112.36116,38.3167
Ochotona_princeps,-112.34332,38.40838
Ochotona_princeps,-112.0725,38.53627
Ochotona_princeps,-111.69607,38.70684
Ochotona_princeps,-111.64305,38.60989
Ochotona_princeps,-111.61389,40.56583
Ochotona_princeps,-111.6028,38.04615
Ochotona_princeps,-111.5725,42.3292
Ochotona_princeps,-111.54237,38.17057
Ochotona_princeps,-111.4829444,38.44038889
Ochotona_princeps,-111.4731028,39.11478611
Ochotona_princeps,-111.4514,38.04647
Ochotona_princeps,-111.44208,39.32247
Ochotona_princeps,-111.28,40.64306
Ochotona_princeps,-111.27835,39.32328
Ochotona_princeps,-111.06852,40.48139
Ochotona_princeps,-111.0415389,40.75713611
Ochotona_princeps,-110.97583,40.57627
Ochotona_princeps,-110.935232,43.540878
Ochotona_princeps,-110.91361,42.62056
Ochotona_princeps,-110.87064,40.72293
Ochotona_princeps,-110.81833,44.13
Ochotona_princeps,-110.76167,43.48
Ochotona_princeps,-110.72972,40.97722
Ochotona_princeps,-110.63965,43.42525
Ochotona_princeps,-110.631243,46.93624796
Ochotona_princeps,-110.50814,38.0821
Ochotona_princeps,-110.46,40.83
Ochotona_princeps,-110.3028,46.1093
Ochotona_princeps,-110.12944,44.46556
Ochotona_princeps,-110.0440861,43.71192778
Ochotona_princeps,-109.9978,40.84105
Ochotona_princeps,-109.934,45.0455
Ochotona_princeps,-109.9275,40.67139
Ochotona_princeps,-109.82619,40.87523
Ochotona_princeps,-109.82064,40.77417
Ochotona_princeps,-109.6112823,44.9638262
Ochotona_princeps,-109.4698694,45.00680833
Ochotona_princeps,-109.22855,38.43838
Ochotona_princeps,-109.21194,38.53111
Ochotona_princeps,-108.0672583,39.0482
Ochotona_princeps,-108.0648735,37.4551379
Ochotona_princeps,-107.9491812,39.0402668
Ochotona_princeps,-107.8444306,44.85757222
Ochotona_princeps,-107.6628555,37.7829565
Ochotona_princeps,-107.5644449,37.8797035
Ochotona_princeps,-107.3327848,40.13970557
Ochotona_princeps,-107.324174,39.550546
Ochotona_princeps,-107.2858722,37.30808368
Ochotona_princeps,-107.2565583,39.97403333
Ochotona_princeps,-107.1883304,39.0722089
Ochotona_princeps,-107.18445,38.8427645
Ochotona_princeps,-107.1103,40.0347
Ochotona_princeps,-107.07889,44.14972
Ochotona_princeps,-107.066989,37.443616
Ochotona_princeps,-107.0159139,41.17780556
Ochotona_princeps,-107.0100087,38.95637574
Ochotona_princeps,-106.9916138,39.0461013
Ochotona_princeps,-106.95556,44.79722
Ochotona_princeps,-106.9418664,38.0461256
Ochotona_princeps,-106.9238973,37.46470242
Ochotona_princeps,-106.7523953,39.20893575
Ochotona_princeps,-106.739,37.488
Ochotona_princeps,-106.734202,37.091955
Ochotona_princeps,-106.7165686,38.3233402
Ochotona_princeps,-106.663105,40.831208
Ochotona_princeps,-106.590883,37.730565
Ochotona_princeps,-106.542689,35.879218
Ochotona_princeps,-106.483621,38.68915565
Ochotona_princeps,-106.4827907,38.9649885
Ochotona_princeps,-106.46203,44.25713
Ochotona_princeps,-106.450033,37.020566
Ochotona_princeps,-106.39222,35.890278
Ochotona_princeps,-106.38624,40.386748
Ochotona_princeps,-106.370277,35.757221
Ochotona_princeps,-106.3529927,38.8398421
Ochotona_princeps,-106.3527884,37.678879
Ochotona_princeps,-106.349863,39.423924
Ochotona_princeps,-106.33583,37.01333
Ochotona_princeps,-106.325016,38.577288
Ochotona_princeps,-106.32431,41.31009
Ochotona_princeps,-106.25639,41.399516
Ochotona_princeps,-106.13694,39.195
Ochotona_princeps,-106.100045,39.386882
Ochotona_princeps,-106.07111,39.29694
Ochotona_princeps,-105.9688999,39.41109606
Ochotona_princeps,-105.8622571,40.37516171
Ochotona_princeps,-105.7975494,39.67219872
Ochotona_princeps,-105.788475,39.8
Ochotona_princeps,-105.7753528,35.79516389
Ochotona_princeps,-105.763062,39.891654
Ochotona_princeps,-105.7338955,40.4324813
Ochotona_princeps,-105.71972,39.4575
Ochotona_princeps,-105.644173,35.962502
Ochotona_princeps,-105.6433,39.5886
Ochotona_princeps,-105.5833,40.0561
Ochotona_princeps,-105.5355347,37.936808
Ochotona_princeps,-105.5102905,39.9613749
Ochotona_princeps,-105.501482,36.61548704
Ochotona_princeps,-105.493494,36.77441304
Ochotona_princeps,-105.416389,36.556667
Ochotona_princeps,-105.101782,37.92802
Ochotona_princeps,-105.04442,38.84054
