species,decimallongitude,decimallatitude
Ochotona_princeps,-121.40694,47.97361
Ochotona_princeps,-121.368973,40.44352
Ochotona_princeps,-121.3633,48.8756
Ochotona_princeps,-121.3592,46.655
Ochotona_princeps,-121.3359116,47.0872
Ochotona_princeps,-121.29919,40.56192
Ochotona_princeps,-121.255,46.795
Ochotona_princeps,-121.1239,46.7078309
Ochotona_princeps,-121.0661,48.7319
Ochotona_princeps,-121.06605,48.0972
Ochotona_princeps,-121.0417792,47.7464
Ochotona_princeps,-120.9753,46.7583
Ochotona_princeps,-120.9666667,47.13333333
Ochotona_princeps,-120.8415137,47.43435876
Ochotona_princeps,-120.737726,40.55566
Ochotona_princeps,-120.69194,47.31778
Ochotona_princeps,-120.6263306,48.50630833
Ochotona_princeps,-120.55833,47.24361
Ochotona_princeps,-120.55,39.6214
Ochotona_princeps,-120.5083,49.4583
Ochotona_princeps,-120.4564,40.8915
Ochotona_princeps,-120.39778,47.29194
Ochotona_princeps,-120.3282225,41.7998952
Ochotona_princeps,-120.3175448,39.3177501
Ochotona_princeps,-120.24141,39.14784
Ochotona_princeps,-120.2124167,41.37862778
Ochotona_princeps,-120.15687,38.84513
Ochotona_princeps,-120.14416,39.93524
Ochotona_princeps,-120.1248722,53.36531667
Ochotona_princeps,-120.11288,38.95447
Ochotona_princeps,-120.03016,38.81245
Ochotona_princeps,-119.97512,38.72321
Ochotona_princeps,-119.9697,48.9286
Ochotona_princeps,-119.91772,41.90407
Ochotona_princeps,-119.917136,39.300311
Ochotona_princeps,-119.89342,39.05331
Ochotona_princeps,-119.8555778,51.72303611
Ochotona_princeps,-119.8164556,38.54444722
Ochotona_princeps,-119.7436,42.4219
Ochotona_princeps,-119.7436,48.6
Ochotona_princeps,-119.6322,48.8211
Ochotona_princeps,-119.59505,38.16908
Ochotona_princeps,-119.52754,37.90351
Ochotona_princeps,-119.5028,50.2259
Ochotona_princeps,-119.43257,54.087283
Ochotona_princeps,-119.39498,37.87941
Ochotona_princeps,-119.373384,37.717984
Ochotona_princeps,-119.279393,38.461747
Ochotona_princeps,-119.273385,37.972866
Ochotona_princeps,-119.25506,37.76807
Ochotona_princeps,-119.1811,37.86653
Ochotona_princeps,-119.15,53.1333
Ochotona_princeps,-119.1270106,37.6864692
Ochotona_princeps,-119.01162,38.211724
Ochotona_princeps,-118.999614,37.630973
Ochotona_princeps,-118.96647,37.126209
Ochotona_princeps,-118.84079,36.711143
Ochotona_princeps,-118.79358,38.56512
