date,state,county,cases
2020-04-29,Georgia,Cobb,1581
2020-04-29,Georgia,DeKalb,1980
2020-04-29,Georgia,Fulton,2785
2020-04-29,Georgia,Gwinnett,1744
2020-04-29,Georgia,Hall,1261
2020-04-30,Georgia,Cobb,1621
2020-04-30,Georgia,DeKalb,2027
2020-04-30,Georgia,Fulton,2821
2020-04-30,Georgia,Gwinnett,1793
2020-04-30,Georgia,Hall,1346
2020-05-01,Georgia,Cobb,1679
2020-05-01,Georgia,DeKalb,2073
2020-05-01,Georgia,Fulton,2880
2020-05-01,Georgia,Gwinnett,1848
2020-05-01,Georgia,Hall,1482
2020-05-02,Georgia,Cobb,1749
2020-05-02,Georgia,DeKalb,2148
2020-05-02,Georgia,Fulton,2928
2020-05-02,Georgia,Gwinnett,1934
2020-05-02,Georgia,Hall,1694
2020-05-03,Georgia,Cobb,1768
2020-05-03,Georgia,DeKalb,2184
2020-05-03,Georgia,Fulton,2981
2020-05-03,Georgia,Gwinnett,1980
2020-05-03,Georgia,Hall,1700
2020-05-04,Georgia,Cobb,1839
2020-05-04,Georgia,DeKalb,2255
2020-05-04,Georgia,Fulton,3057
2020-05-04,Georgia,Gwinnett,2057
2020-05-04,Georgia,Hall,1776
2020-05-05,Georgia,Cobb,1887
2020-05-05,Georgia,DeKalb,2284
2020-05-05,Georgia,Fulton,3165
2020-05-05,Georgia,Gwinnett,2102
2020-05-05,Georgia,Hall,1846
2020-05-06,Georgia,Cobb,1998
2020-05-06,Georgia,DeKalb,2357
2020-05-06,Georgia,Fulton,3250
2020-05-06,Georgia,Gwinnett,2222
2020-05-06,Georgia,Hall,1914
2020-05-07,Georgia,Cobb,2024
2020-05-07,Georgia,DeKalb,2396
2020-05-07,Georgia,Fulton,3260
2020-05-07,Georgia,Gwinnett,2254
2020-05-07,Georgia,Hall,1956
2020-05-08,Georgia,Cobb,2072
2020-05-08,Georgia,DeKalb,2445
2020-05-08,Georgia,Fulton,3317
2020-05-08,Georgia,Gwinnett,2322
2020-05-08,Georgia,Hall,1997
2020-05-09,Georgia,Cobb,2128
2020-05-09,Georgia,DeKalb,2489
2020-05-09,Georgia,Fulton,3385
2020-05-09,Georgia,Gwinnett,2403
2020-05-09,Georgia,Hall,2002
2020-05-10,Georgia,Cobb,2175
2020-05-10,Georgia,DeKalb,2536
2020-05-10,Georgia,Fulton,3509
2020-05-10,Georgia,Gwinnett,2447
2020-05-10,Georgia,Hall,2012
2020-05-11,Georgia,Cobb,2186
2020-05-11,Georgia,DeKalb,2555
2020-05-11,Georgia,Fulton,3516
2020-05-11,Georgia,Gwinnett,2475
2020-05-11,Georgia,Hall,2039
2020-05-12,Georgia,Cobb,2253
2020-05-12,Georgia,DeKalb,2605
2020-05-12,Georgia,Fulton,3595
2020-05-12,Georgia,Gwinnett,2495
2020-05-12,Georgia,Hall,2060
2020-05-13,Georgia,Cobb,2280
2020-05-13,Georgia,DeKalb,2632
2020-05-13,Georgia,Fulton,3614
2020-05-13,Georgia,Gwinnett,2510
2020-05-13,Georgia,Hall,2112
2020-05-14,Georgia,Cobb,2363
2020-05-14,Georgia,DeKalb,2664
2020-05-14,Georgia,Fulton,3625
2020-05-14,Georgia,Gwinnett,2552
2020-05-14,Georgia,Hall,2125
2020-05-15,Georgia,Cobb,2395
2020-05-15,Georgia,DeKalb,2751
2020-05-15,Georgia,Fulton,3703
2020-05-15,Georgia,Gwinnett,2597
2020-05-15,Georgia,Hall,2140
2020-05-16,Georgia,Cobb,2407
2020-05-16,Georgia,DeKalb,2800
2020-05-16,Georgia,Fulton,3749
2020-05-16,Georgia,Gwinnett,2597
2020-05-16,Georgia,Hall,2146
2020-05-17,Georgia,Cobb,2406
2020-05-17,Georgia,DeKalb,2802
2020-05-17,Georgia,Fulton,3759
2020-05-17,Georgia,Gwinnett,2594
2020-05-17,Georgia,Hall,2150
2020-05-18,Georgia,Cobb,2429
2020-05-18,Georgia,DeKalb,2856
2020-05-18,Georgia,Fulton,3751
2020-05-18,Georgia,Gwinnett,2680
2020-05-18,Georgia,Hall,2164
2020-05-19,Georgia,Cobb,2503
2020-05-19,Georgia,DeKalb,2918
2020-05-19,Georgia,Fulton,3795
2020-05-19,Georgia,Gwinnett,2771
2020-05-19,Georgia,Hall,2191
2020-05-20,Georgia,Cobb,2584
2020-05-20,Georgia,DeKalb,2979
2020-05-20,Georgia,Fulton,3793
2020-05-20,Georgia,Gwinnett,2820
2020-05-20,Georgia,Hall,2230
2020-05-21,Georgia,Cobb,2625
2020-05-21,Georgia,DeKalb,3038
2020-05-21,Georgia,Fulton,3872
2020-05-21,Georgia,Gwinnett,2882
2020-05-21,Georgia,Hall,2248
2020-05-22,Georgia,Cobb,2655
2020-05-22,Georgia,DeKalb,3080
2020-05-22,Georgia,Fulton,3931
2020-05-22,Georgia,Gwinnett,2961
2020-05-22,Georgia,Hall,2269
2020-05-23,Georgia,Cobb,2661
2020-05-23,Georgia,DeKalb,3146
2020-05-23,Georgia,Fulton,3977
2020-05-23,Georgia,Gwinnett,2997
2020-05-23,Georgia,Hall,2305
2020-05-24,Georgia,Cobb,2702
2020-05-24,Georgia,DeKalb,3257
2020-05-24,Georgia,Fulton,4054
2020-05-24,Georgia,Gwinnett,3056
2020-05-24,Georgia,Hall,2322
2020-05-25,Georgia,Cobb,2795
2020-05-25,Georgia,DeKalb,3305
2020-05-25,Georgia,Fulton,4080
2020-05-25,Georgia,Gwinnett,3198
2020-05-25,Georgia,Hall,2327
2020-05-26,Georgia,Cobb,2854
2020-05-26,Georgia,DeKalb,3421
2020-05-26,Georgia,Fulton,4230
2020-05-26,Georgia,Gwinnett,3307
2020-05-26,Georgia,Hall,2378
2020-05-27,Georgia,Cobb,2907
2020-05-27,Georgia,DeKalb,3573
2020-05-27,Georgia,Fulton,4309
2020-05-27,Georgia,Gwinnett,3480
2020-05-27,Georgia,Hall,2422
2020-05-28,Georgia,Cobb,2948
2020-05-28,Georgia,DeKalb,3635
2020-05-28,Georgia,Fulton,4367
2020-05-28,Georgia,Gwinnett,3619
2020-05-28,Georgia,Hall,2450
2020-05-29,Georgia,Cobb,2987
2020-05-29,Georgia,DeKalb,3718
2020-05-29,Georgia,Fulton,4490
2020-05-29,Georgia,Gwinnett,3733
2020-05-29,Georgia,Hall,2465
2020-05-30,Georgia,Cobb,3009
2020-05-30,Georgia,DeKalb,3731
2020-05-30,Georgia,Fulton,4507
2020-05-30,Georgia,Gwinnett,3769
2020-05-30,Georgia,Hall,2467
2020-05-31,Georgia,Cobb,3027
2020-05-31,Georgia,DeKalb,3734
2020-05-31,Georgia,Fulton,4524
2020-05-31,Georgia,Gwinnett,3780
2020-05-31,Georgia,Hall,2467
2020-06-01,Georgia,Cobb,3052
2020-06-01,Georgia,DeKalb,3795
2020-06-01,Georgia,Fulton,4621
2020-06-01,Georgia,Gwinnett,3870
2020-06-01,Georgia,Hall,2507
2020-06-02,Georgia,Cobb,3056
2020-06-02,Georgia,DeKalb,3803
2020-06-02,Georgia,Fulton,4638
2020-06-02,Georgia,Gwinnett,3891
2020-06-02,Georgia,Hall,2508
