gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1948743851	StillImage	image/jpeg	https://static.inaturalist.org/photos/28675321/original.jpeg?1543546621	https://www.inaturalist.org/photos/28675321					2018-11-05T02:52:00Z	Eric Heston		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Eric Heston
1946336466	StillImage	image/jpeg	https://static.inaturalist.org/photos/28523149/original.jpeg?1543184717	https://www.inaturalist.org/photos/28523149					2018-11-24T10:43:24Z	j_appleget		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	j_appleget
1946324665	StillImage	image/jpeg	https://static.inaturalist.org/photos/28462292/original.jpg?1543072041	https://www.inaturalist.org/photos/28462292					2016-02-14T18:34:52Z	spyingnaturalist		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spyingnaturalist
1946324665	StillImage	image/jpeg	https://static.inaturalist.org/photos/47716780/original.jpg?1565446623	https://www.inaturalist.org/photos/47716780					2016-02-14T12:26:15Z	spyingnaturalist		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spyingnaturalist
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300168/original.jpg?1542660907	https://www.inaturalist.org/photos/28300168					2011-12-16T13:27:58Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300178/original.jpg?1542660920	https://www.inaturalist.org/photos/28300178					2011-12-16T13:33:03Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300165/original.jpg?1542660903	https://www.inaturalist.org/photos/28300165					2011-12-16T13:27:46Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300157/original.jpg?1542660895	https://www.inaturalist.org/photos/28300157					2011-12-16T13:21:36Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300133/original.jpg?1542660863	https://www.inaturalist.org/photos/28300133					2011-12-16T13:17:30Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300143/original.jpg?1542660880	https://www.inaturalist.org/photos/28300143					2011-12-16T13:18:22Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300150/original.jpg?1542660889	https://www.inaturalist.org/photos/28300150					2011-12-16T13:20:13Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300137/original.jpg?1542660870	https://www.inaturalist.org/photos/28300137					2011-12-16T13:17:51Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300162/original.jpg?1542660898	https://www.inaturalist.org/photos/28300162					2011-12-16T13:25:02Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300148/original.jpg?1542660887	https://www.inaturalist.org/photos/28300148					2011-12-16T13:19:56Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300171/original.jpg?1542660909	https://www.inaturalist.org/photos/28300171					2011-12-16T13:29:03Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300177/original.jpg?1542660916	https://www.inaturalist.org/photos/28300177					2011-12-16T13:29:57Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300146/original.jpg?1542660884	https://www.inaturalist.org/photos/28300146					2011-12-16T13:19:38Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300164/original.jpg?1542660901	https://www.inaturalist.org/photos/28300164					2011-12-16T13:25:20Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300156/original.jpg?1542660892	https://www.inaturalist.org/photos/28300156					2011-12-16T13:20:59Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300173/original.jpg?1542660913	https://www.inaturalist.org/photos/28300173					2011-12-16T13:29:19Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1945452249	StillImage	image/jpeg	https://static.inaturalist.org/photos/28300135/original.jpg?1542660867	https://www.inaturalist.org/photos/28300135					2011-12-16T13:17:39Z	John G. Phillips		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John G. Phillips
1944410086	StillImage	image/jpeg	https://static.inaturalist.org/photos/28099529/original.jpg?1542166391	https://www.inaturalist.org/photos/28099529					2018-11-07T11:47:35Z	Laura Gaudette		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Laura Gaudette
1944407288	StillImage	image/jpeg	https://static.inaturalist.org/photos/28082971/original.jpeg?1542126646	https://www.inaturalist.org/photos/28082971					2013-05-13T08:19:11Z	Edward Perry IV		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Edward Perry IV
1935625400	StillImage	image/jpeg	https://static.inaturalist.org/photos/27901711/original.jpg?1541699891	https://www.inaturalist.org/photos/27901711					2018-11-08T17:56:15Z	kronnick		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kronnick
1935625400	StillImage	image/jpeg	https://static.inaturalist.org/photos/27901693/original.jpg?1541699840	https://www.inaturalist.org/photos/27901693					2018-11-08T17:56:15Z	kronnick		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kronnick
1935625400	StillImage	image/jpeg	https://static.inaturalist.org/photos/27901698/original.jpg?1541699855	https://www.inaturalist.org/photos/27901698					2018-11-08T17:56:15Z	kronnick		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kronnick
1935625400	StillImage	image/jpeg	https://static.inaturalist.org/photos/27901686/original.jpg?1541699830	https://www.inaturalist.org/photos/27901686					2018-11-08T17:56:15Z	kronnick		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kronnick
1935584477	StillImage	image/jpeg	https://static.inaturalist.org/photos/27170766/original.jpg?1540414577	https://www.inaturalist.org/photos/27170766					2018-10-15T22:18:13Z	Maria Happ		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Maria Happ
1935584477	StillImage	image/jpeg	https://static.inaturalist.org/photos/27170749/original.jpg?1540414561	https://www.inaturalist.org/photos/27170749					2018-10-15T22:18:13Z	Maria Happ		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Maria Happ
1935584477	StillImage	image/jpeg	https://static.inaturalist.org/photos/27170771/original.jpg?1540414584	https://www.inaturalist.org/photos/27170771					2018-10-15T22:18:13Z	Maria Happ		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Maria Happ
1935584477	StillImage	image/jpeg	https://static.inaturalist.org/photos/27170757/original.jpg?1540414569	https://www.inaturalist.org/photos/27170757					2018-10-15T22:18:13Z	Maria Happ		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Maria Happ
1933578022	StillImage	image/png	https://static.inaturalist.org/photos/27432595/original.png?1540867224	https://www.inaturalist.org/photos/27432595					2018-10-29T02:40:00Z	Natalie Cannella		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Natalie Cannella
1933564345	StillImage	image/jpeg	https://static.inaturalist.org/photos/27348737/original.jpeg?1540742758	https://www.inaturalist.org/photos/27348737					2018-10-23T16:05:00Z	Kate Craig		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kate Craig
1932347832	StillImage	image/jpeg	https://static.inaturalist.org/photos/27162004/original.jpeg?1540402801	https://www.inaturalist.org/photos/27162004					1980-01-01T00:03:11Z	margaretbailey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	margaretbailey
1931533757	StillImage	image/jpeg	https://static.inaturalist.org/photos/26854218/original.jpg?1539896049	https://www.inaturalist.org/photos/26854218					2015-08-15T15:00:24Z	ndale1		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ndale1
1931531507	StillImage	image/jpeg	https://static.inaturalist.org/photos/26848000/original.jpg?1539888594	https://www.inaturalist.org/photos/26848000					2018-10-06T00:00:00Z	Molly Paschal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Molly Paschal
1931508889	StillImage	image/jpeg	https://static.inaturalist.org/photos/26669248/original.jpg?1539577576	https://www.inaturalist.org/photos/26669248					2018-09-22T16:30:00Z	sgstephen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sgstephen
1931503587	StillImage	image/jpeg	https://static.inaturalist.org/photos/26648418/original.jpg?1539557002	https://www.inaturalist.org/photos/26648418					2018-09-08T14:00:32Z	jackiemelcon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jackiemelcon
1931494057	StillImage	image/png	https://static.inaturalist.org/photos/26570696/original.png?1539458813	https://www.inaturalist.org/photos/26570696					2018-09-08T20:35:00Z	simrangill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	simrangill
1920846016	StillImage	image/jpeg	https://static.inaturalist.org/photos/26487447/original.jpeg?1539320622	https://www.inaturalist.org/photos/26487447					2016-06-10T14:12:11Z	Jordan Cochran		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jordan Cochran
1920846016	StillImage	image/jpeg	https://static.inaturalist.org/photos/26487476/original.jpeg?1539320680	https://www.inaturalist.org/photos/26487476					2016-06-10T14:27:33Z	Jordan Cochran		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jordan Cochran
1914340660	StillImage	image/jpeg	https://static.inaturalist.org/photos/25861353/original.jpeg?1538353740	https://www.inaturalist.org/photos/25861353					2018-09-30T19:25:00Z	William Warburton		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	William Warburton
1914225454	StillImage	image/jpeg	https://static.inaturalist.org/photos/25478822/original.jpeg?1537799899	https://www.inaturalist.org/photos/25478822					2015-04-20T14:35:54Z	cobal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cobal
1914220324	StillImage	image/jpeg	https://static.inaturalist.org/photos/25438992/original.jpg?1537736269	https://www.inaturalist.org/photos/25438992					2018-09-22T14:56:07Z	oculp		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	oculp
1914220324	StillImage	image/jpeg	https://static.inaturalist.org/photos/25438939/original.jpg?1537736222	https://www.inaturalist.org/photos/25438939					2018-09-22T14:56:07Z	oculp		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	oculp
1914220324	StillImage	image/jpeg	https://static.inaturalist.org/photos/25439011/original.jpg?1537736296	https://www.inaturalist.org/photos/25439011					2018-09-22T14:56:07Z	oculp		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	oculp
1914220324	StillImage	image/jpeg	https://static.inaturalist.org/photos/25439031/original.jpg?1537736311	https://www.inaturalist.org/photos/25439031					2018-09-22T14:56:07Z	oculp		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	oculp
1914215175	StillImage	image/jpeg	https://static.inaturalist.org/photos/25396610/original.jpeg?1537672286	https://www.inaturalist.org/photos/25396610					2016-03-30T14:13:12Z	Tom Kerr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tom Kerr
1913686110	StillImage	image/jpeg	https://static.inaturalist.org/photos/25023202/original.jpg?1537138041	https://www.inaturalist.org/photos/25023202					2015-07-02T15:17:59Z	logpark		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	logpark
1901084521	StillImage	image/jpeg	https://static.inaturalist.org/photos/24428916/original.jpg?1536270261	https://www.inaturalist.org/photos/24428916					2018-08-30T00:00:00Z	alaynaclairew		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alaynaclairew
1901072577	StillImage	image/png	https://static.inaturalist.org/photos/24333636/original.png?1536102827	https://www.inaturalist.org/photos/24333636					2018-07-23T23:39:00Z	Michiko		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Michiko
1901072577	StillImage	image/png	https://static.inaturalist.org/photos/24333638/original.png?1536102835	https://www.inaturalist.org/photos/24333638					2018-07-23T23:39:00Z	Michiko		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Michiko
1901064588	StillImage	image/jpeg	https://static.inaturalist.org/photos/24267034/original.jpg?1536007382	https://www.inaturalist.org/photos/24267034					2011-03-17T10:25:40Z	Christopher Hampson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Christopher Hampson
1901047048	StillImage	image/jpeg	https://static.inaturalist.org/photos/24136451/original.jpg?1535833443	https://www.inaturalist.org/photos/24136451					2018-07-24T16:53:25Z	William Brockman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	William Brockman
1901041654	StillImage	image/jpeg	https://static.inaturalist.org/photos/24095001/original.jpg?1535766955	https://www.inaturalist.org/photos/24095001					2018-08-26T18:30:33Z	nasiba_kh		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nasiba_kh
1901033274	StillImage	image/jpeg	https://static.inaturalist.org/photos/23507676/original.jpg?1534814332	https://www.inaturalist.org/photos/23507676					2018-08-20T19:06:50Z	David George		iNaturalist	http://creativecommons.org/licenses/by/4.0/	David George
1901033274	StillImage	image/jpeg	https://static.inaturalist.org/photos/23507702/original.jpg?1534814355	https://www.inaturalist.org/photos/23507702					2018-08-20T19:06:50Z	David George		iNaturalist	http://creativecommons.org/licenses/by/4.0/	David George
1901033274	StillImage	image/jpeg	https://static.inaturalist.org/photos/23507680/original.jpg?1534814340	https://www.inaturalist.org/photos/23507680					2018-08-20T19:06:50Z	David George		iNaturalist	http://creativecommons.org/licenses/by/4.0/	David George
1901033274	StillImage	image/jpeg	https://static.inaturalist.org/photos/23507691/original.jpg?1534814347	https://www.inaturalist.org/photos/23507691					2018-08-20T19:06:50Z	David George		iNaturalist	http://creativecommons.org/licenses/by/4.0/	David George
1901033274	StillImage	image/jpeg	https://static.inaturalist.org/photos/23507666/original.jpg?1534814323	https://www.inaturalist.org/photos/23507666					2018-08-20T19:06:50Z	David George		iNaturalist	http://creativecommons.org/licenses/by/4.0/	David George
1898845123	StillImage	image/jpeg	https://static.inaturalist.org/photos/6214462/original.jpeg?1486426306	https://www.inaturalist.org/photos/6214462					2017-02-04T11:01:56Z	Isaac Krone		iNaturalist	http://creativecommons.org/licenses/by-nc-sa/4.0/	Isaac Krone
1898845113	StillImage	image/jpeg	https://static.inaturalist.org/photos/6215189/original.jpeg?1486431730	https://www.inaturalist.org/photos/6215189					2017-02-04T10:42:54Z	Isaac Krone		iNaturalist	http://creativecommons.org/licenses/by-nc-sa/4.0/	Isaac Krone
1898845113	StillImage	image/jpeg	https://static.inaturalist.org/photos/6211433/original.jpeg?1486405632	https://www.inaturalist.org/photos/6211433					2017-02-04T18:21:00Z	Isaac Krone		iNaturalist	http://creativecommons.org/licenses/by-nc-sa/4.0/	Isaac Krone
1898791379	StillImage	image/jpeg	https://static.inaturalist.org/photos/23128427/original.jpeg?1534267889	https://www.inaturalist.org/photos/23128427					2016-09-07T10:39:33Z	Devin Oehler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Devin Oehler
1891312525	StillImage	image/jpeg	https://static.inaturalist.org/photos/22970520/original.jpeg?1534036408	https://www.inaturalist.org/photos/22970520					2018-08-10T22:13:09Z	Samantha		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samantha
1891312525	StillImage	image/jpeg	https://static.inaturalist.org/photos/22970510/original.jpeg?1534036399	https://www.inaturalist.org/photos/22970510					2018-08-10T22:23:25Z	Samantha		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samantha
1891309170	StillImage	image/jpeg	https://static.inaturalist.org/photos/22944267/original.jpeg?1534007178	https://www.inaturalist.org/photos/22944267					2012-01-13T13:29:35Z	Miguel Vieira		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Miguel Vieira
1891305420	StillImage	image/jpeg	https://static.inaturalist.org/photos/22915260/original.jpeg?1533950146	https://www.inaturalist.org/photos/22915260					2018-01-27T10:32:41Z	Alex Lamoreaux		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Alex Lamoreaux
1890712010	StillImage	image/jpeg	https://static.inaturalist.org/photos/22755505/original.jpg?1533683534	https://www.inaturalist.org/photos/22755505					2010-03-21T04:04:05Z	Alison Northup		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alison Northup
1890712010	StillImage	image/jpeg	https://static.inaturalist.org/photos/22755511/original.jpg?1533683537	https://www.inaturalist.org/photos/22755511					2010-03-21T04:00:16Z	Alison Northup		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alison Northup
