"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","recordedByID","identifiedByID"
"1975",1063852623,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:206961_328644_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2017-07-05T21:23:10Z",NA,NA,"https://www.diveboard.com/jipinndal/D5EAtgZ",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:206961_328644_0","diveboard:206961_328644_0","","Jan Pinndal",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","2015-02-23T07:05:00","",NA,NA,2015,2,23,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","Crystal river","","","US","","",NA,"Three Sisters Spring","Three Sisters Spring, Crystal River, Florida",NA,NA,NA,NA,"","",28.8885,-82.5892,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Jan Pinndal","2015-02-23T00:00:00",NA,"","","http://eol.org/pages/328644","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:30.895Z",0,0,1.5,1.5,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus Linnaeus, 1758",NA,"DWC_ARCHIVE","2020-07-14T15:00:30.895Z","2020-07-14T15:00:14.383Z","true",NA,"",""
"1976",1063852586,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:206963_328644_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2017-07-05T21:23:10Z",NA,NA,"https://www.diveboard.com/jipinndal/D5LUD3V",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:206963_328644_0","diveboard:206963_328644_0","","Jan Pinndal",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","2015-02-23T08:00:00","",NA,NA,2015,2,23,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","Kings Bay","","","US","","",NA,"Jurassic Spring","Jurassic Spring, Crystal River, Florida",NA,NA,NA,NA,"","",28.8951,-82.59,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Jan Pinndal","2015-02-23T00:00:00",NA,"","","http://eol.org/pages/328644","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:31.097Z",0,0,2,2,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus Linnaeus, 1758",NA,"DWC_ARCHIVE","2020-07-14T15:00:31.097Z","2020-07-14T15:00:14.383Z","true",NA,"",""
"1982",1030653098,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:179193_328644_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2019-01-10T21:47:01Z",NA,NA,"https://www.diveboard.com/steve.dillon/D6t869B",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:179193_328644_0","diveboard:179193_328644_0","","Steve Dillon",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","2014-10-18T11:35:00","",NA,NA,2014,10,18,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","DeLeon Springs","","","US","","",NA,"Blue Springs","Blue Springs, Blue Springs State Park",NA,NA,NA,NA,"","",28.9473,-81.3396,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Steve Dillon","2014-10-18T00:00:00",NA,"","","http://eol.org/pages/328644","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:30.988Z",0,0,10.56,10.56,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus Linnaeus, 1758",NA,"DWC_ARCHIVE","2020-07-14T15:00:30.988Z","2020-07-14T15:00:14.383Z","true",NA,"",""
"2061",890046095,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:115036_1251949_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2015-04-29T13:46:07Z",NA,NA,"https://www.diveboard.com/gonzobongo/D2H7PYB",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:115036_1251949_0","diveboard:115036_1251949_0","","Gon Zalo",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","2013-03-21T01:02:00","",NA,NA,2013,3,21,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","aquafir","","","US","","",NA,"Blue Grotto Spring","Blue Grotto Spring, Williston, Fl,",NA,NA,NA,NA,"","",29.3875,-82.4468,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Gon Zalo","2013-03-21T00:00:00",NA,"","","http://eol.org/pages/1251949","",NA,NA,NA,NA,NA,NA,"Trichechus manatus latirostris (Harlan, 1824)",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","latirostris","SUBSPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:33.716Z",0,0,10,10,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435297,2435297,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus latirostris (Harlan, 1824)","Trichechus manatus latirostris (Harlan, 1824)",NA,"DWC_ARCHIVE","2020-07-14T15:00:33.716Z","2020-07-14T15:00:14.383Z","true",NA,"",""
"2082",857009942,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:48724_328644_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2017-08-07T22:55:11Z",NA,NA,"",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:48724_328644_0","diveboard:48724_328644_0","","Anonymous",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1994-03-29T09:41:00","",NA,NA,1994,3,29,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","Kings Bay","","","US","","",NA,"Crystal River","Crystal River, Crystal River, FL",NA,NA,NA,NA,"","",28.8914,-82.6025,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Anonymous","1994-03-29T00:00:00",NA,"","","http://eol.org/pages/328644","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:34.694Z",0,0,6.095,6.095,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus Linnaeus, 1758",NA,"DWC_ARCHIVE","2020-07-14T15:00:34.694Z","2020-07-14T15:00:14.383Z","true",NA,"",""
"2083",857009937,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:48725_328644_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2017-08-07T22:55:11Z",NA,NA,"",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:48725_328644_0","diveboard:48725_328644_0","","Anonymous",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1994-03-29T14:30:00","",NA,NA,1994,3,29,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","Kings Bay","","","US","","",NA,"Crystal River","Crystal River, Crystal River, FL",NA,NA,NA,NA,"","",28.8914,-82.6025,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Anonymous","1994-03-29T00:00:00",NA,"","","http://eol.org/pages/328644","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:32.515Z",0,0,3.05,3.05,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus Linnaeus, 1758",NA,"DWC_ARCHIVE","2020-07-14T15:00:32.515Z","2020-07-14T15:00:14.383Z","true",NA,"",""
"2084",857004684,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:24075_328644_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2017-07-05T21:23:03Z",NA,NA,"https://www.diveboard.com/jipinndal/D5OoPlW",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:24075_328644_0","diveboard:24075_328644_0","","Jan Pinndal",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","2000-02-04T08:30:00","",NA,NA,2000,2,4,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","Crystal river","","","US","","",NA,"King's Spring","King's Spring, Crystal River, Florida",NA,NA,NA,NA,"","",28.8914,-82.6025,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Jan Pinndal","2000-02-04T00:00:00",NA,"","","http://eol.org/pages/328644","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:34.327Z",0,0,2.5,2.5,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus Linnaeus, 1758",NA,"DWC_ARCHIVE","2020-07-14T15:00:34.327Z","2020-07-14T15:00:14.383Z","true",NA,"",""
"2085",857004681,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diveboard:24074_328644_0",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"2017-07-05T21:23:03Z",NA,NA,"https://www.diveboard.com/jipinndal/D5L9l53",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","Diveboard",NA,NA,NA,NA,NA,NA,"Event",NA,"","","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","Diveboard","Diveboard","Diveboard - Scuba diving citizen science","Diveboard","HUMAN_OBSERVATION","",NA,"","diveboard:24074_328644_0","diveboard:24074_328644_0","","Jan Pinndal",NA,NA,NA,"","","",NA,"","Present","","","",NA,NA,"","Non validated citizen science record","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","2000-02-04T07:00:00","",NA,NA,2000,2,4,"","","citizen science scuba dive observation","",NA,NA,"","","",NA,"","","Crystal river","","","US","","",NA,"King's Spring","King's Spring, Crystal River, Florida",NA,NA,NA,NA,"","",28.8914,-82.6025,100,NA,NA,"",NA,"",NA,NA,"","","","Google Maps","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","Jan Pinndal","2000-02-04T00:00:00",NA,"","","http://eol.org/pages/328644","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"EOL",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","FR","2020-07-14T15:00:31.896Z",0,0,2.5,2.5,NA,NA,"COORDINATE_REPROJECTION_SUSPICIOUS","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus Linnaeus, 1758",NA,"DWC_ARCHIVE","2020-07-14T15:00:31.896Z","2020-07-14T15:00:14.383Z","true",NA,"",""
