gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
2803078108																										50359044										http://creativecommons.org/licenses/by-nc/4.0/			2020-06-22T01:55:21Z			https://www.inaturalist.org/observations/50359044				© drjackson some rights reserved	drjackson												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/50359044	50359044		drjackson								wild																					2020-06-20T11:04:21-04:00	15:04:21Z						Sat Jun 20 2020 11:04:21 GMT-0400 (EDT)																US	Florida				Biscayne Bay, FL, US											25.64690333	-80.19705833		4																																			111732963			ericroscoe	2020-06-21T02:50:01Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2803056766																										50503324										http://creativecommons.org/licenses/by-nc/4.0/			2020-06-23T17:33:08Z			https://www.inaturalist.org/observations/50503324				© pythonbob some rights reserved	pythonbob												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/50503324	50503324		pythonbob								wild																					2020-06-01T02:58:03-04:00	06:58:03Z						Mon Jun 01 2020 02:58:03 GMT-0400 (EDT)																US	Florida				Everglades National Park, Homestead, FL, US											25.41741167	-80.77973		5																																			111995537			pythonbob	2020-06-22T02:06:22Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2626473197																										46779419										http://creativecommons.org/licenses/by-nc/4.0/			2020-07-11T03:27:33Z			https://www.inaturalist.org/observations/46779419				© jdevans7 some rights reserved	jdevans7												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 29981m at the request of the observer			https://www.inaturalist.org/observations/46779419	46779419		jdevans7								wild									In Tricolored Heron nest												2020-05-21T12:26:58-04:00	16:26:58Z						Thu May 21 2020 12:26:58 GMT-0400 (EDT)																US	Florida				Everglades National Park, US-FL, US											25.2904808498	-80.7235248613		29981																																			104661743			jdevans7	2020-05-21T22:42:20Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2626153762																										41480484										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-22T17:42:54Z			https://www.inaturalist.org/observations/41480484				© tgarrison80 some rights reserved	tgarrison80												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/41480484	41480484		tgarrison80								wild																					2007-07-13							2007-07-13																US	Florida				Miami-Dade County, FL, USA											25.403650421	-80.5445476886		440																																			93831793			tgarrison80	2020-04-05T21:13:42Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2620117943																										44812604										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-11T00:31:00Z			https://www.inaturalist.org/observations/44812604				© Michiko some rights reserved	Michiko												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/44812604	44812604		Michiko								wild																					2013-01-07T20:37:55-05:00	01:37:55Z						2013-01-07 8:37:55 PM MST																US	Florida				Flamingo, FL 33034, USA											25.4186496916	-80.5741435289		21																																			100615876			Michiko	2020-05-03T23:16:05Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2620047364																										22727638										http://creativecommons.org/licenses/by/4.0/			2020-05-10T17:42:37Z			https://www.inaturalist.org/observations/22727638				© Brandon Bourassa some rights reserved	Brandon Bourassa												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/22727638	22727638		Brandon Bourassa								wild																					2018-07-01T19:21:54-06:00	01:21:54Z						Sun Jul 01 2018 19:21:54 GMT-0600 (MDT)																US	Florida				Everglades National Park, Homestead, FL, US											25.332455	-80.8015883333		24																																			50647574			Brandon Bourassa	2019-04-19T22:03:38Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2609349249																										42953262										http://creativecommons.org/licenses/by-nc/4.0/			2020-06-28T21:49:32Z			https://www.inaturalist.org/observations/42953262				© colanegra some rights reserved	colanegra												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 29981m at the request of the observer			https://www.inaturalist.org/observations/42953262	42953262		colanegra								wild									About 6' in length basking on a canal bank.												2009-03-22T12:31:00-05:00	17:31:00Z						2009/03/22 12:31 PM CDT																US	Florida				Miami-Dade County, US-FL, US											25.3571742418	-80.4223510288		29981																																			97122018			colanegra	2020-04-23T14:25:28Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2609343389																										42516793										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-06T15:18:45Z			https://www.inaturalist.org/observations/42516793				© laetitiaduret some rights reserved	laetitiaduret												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/42516793	42516793		laetitiaduret								wild																					2019-12-27T18:09:48-05:00	23:09:48Z						2019-12-27 6:09:48 PM EST																US	Florida				Big Cypress, FL, USA											25.8991540204	-81.3051591441		1334																																			100479929			dodomae98	2020-05-03T15:23:31Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2609249626																										42893072										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-06T15:11:13Z			https://www.inaturalist.org/observations/42893072				© teresap some rights reserved	teresap												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/42893072	42893072		teresap								wild									This snake was caught and handled by a park ranger												2012-03-22T12:10:00-04:00	16:10:00Z						2012/03/22 12:10 PM EDT																US	Florida				Everglades National Park, FL, USA											25.4032036225	-80.9619754369		37812																																			96997860			teresap	2020-04-22T21:28:28Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
2574277499																										38443672										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-07T15:08:06Z			https://www.inaturalist.org/observations/38443672				© Isaac Lord some rights reserved	Isaac Lord												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38443672	38443672		Isaac Lord								wild																					2020-02-05T09:47:00-06:00	15:47:00Z						2020/02/05 9:47 AM CST																US	Florida				33000 Tamiami Trail E, Ochopee, FL 34141, USA											25.7617737643	-80.6584610281		244																																			86375709			Isaac Lord	2020-02-08T23:35:43Z				238252								Python bivittatus								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python				species									
