gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID
1324147269																										4A7FED08-95A4-4755-B5A3-70BC7AC4A6EC										CC_BY_NC_4_0			2020-01-23T15:03:04Z																				UF	Herp			MACHINE_OBSERVATION				4A7FED08-95A4-4755-B5A3-70BC7AC4A6EC	165913		Holbrook, Joshua										photograph-digital - 1						Image voucher only												2009-07-07T00:00:00				2009	7	7											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Everglades National Park, Main Park Road, Ninemile Pond, S entrance								25.25307	-80.79842	10.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:42.167Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:42.167Z	2020-07-15T18:15:17.418Z	false			
1324147268																										27DBA25B-4CD4-4F55-B171-93AF571865A8										CC_BY_NC_4_0			2019-08-15T17:02:33Z																				UF	Herp			MACHINE_OBSERVATION			50.8 cm SVL, 58.4 cm TL	27DBA25B-4CD4-4F55-B171-93AF571865A8	165937		Bell, Mark				MALE						neonate - 1						Image voucher only												2009-08-07T00:00:00				2009	8	7											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Southern Glades Wildlife and Environmental Area, SW 232 Avenue, 0.9 mi S State Road 9336								25.38788	-80.56585	10.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:43.377Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:43.377Z	2020-07-15T18:15:17.418Z	false			
1324147267																										14401440-221E-4F5C-AAEC-FEFA6D89555B										CC_BY_NC_4_0			2019-08-15T16:47:54Z																				UF	Herp			MACHINE_OBSERVATION			53.9 cm SVL, 63.7 cm TL	14401440-221E-4F5C-AAEC-FEFA6D89555B	165953		Heflick, Shawn				MALE						default - 1						Image voucher only												2009-08-19T00:00:00				2009	8	19											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Florida City, State Road 9336 & C-111 canal								25.403594	-80.558324	50.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:43.440Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:43.440Z	2020-07-15T18:15:17.418Z	false			
1324147265																										CA00FAC1-5AFE-429D-8976-3E67B67C162A										CC_BY_NC_4_0			2020-01-23T15:03:20Z																				UF	Herp			MACHINE_OBSERVATION			243 cm TL	CA00FAC1-5AFE-429D-8976-3E67B67C162A	165919		Sadle, Jimi; Cooley, Hillary				FEMALE						photograph-digital - 2						White ibis in stomach. Image vouchers only												2009-10-01T00:00:00				2009	10	1											North America, United States, Florida, Monroe	NORTH_AMERICA				US	Florida	Monroe		Everglades National Park, Coastal Prairie Trail, 1.5 mi W Flamingo campground								25.13817	-80.97183	50.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:46.088Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:46.088Z	2020-07-15T18:15:17.418Z	false			
1324147264																										14F568FE-3DD6-475F-B77F-DCB8BBFBF78F										CC_BY_NC_4_0			2019-08-15T16:47:53Z																				UF	Herp			MACHINE_OBSERVATION			100.8 cm SVL, 114.5 cm TL	14F568FE-3DD6-475F-B77F-DCB8BBFBF78F	165942		Heflick, Shawn				MALE						default - 1						Image voucher only												2009-08-15T00:00:00				2009	8	15											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Southern Glades Wildlife and Environmental Area, SW 232 Avenue, 0.91 mi S State Road 9336								25.38772	-80.56592	10.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:44.566Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:44.566Z	2020-07-15T18:15:17.418Z	false			
1324147263																										4E441043-EC4F-4854-9B04-6E8C73554CAB										CC_BY_NC_4_0			2019-08-15T16:47:54Z																				UF	Herp			MACHINE_OBSERVATION			213.3 cm SVL, 248.9 cm TL	4E441043-EC4F-4854-9B04-6E8C73554CAB	165949		Freer, Robert				MALE						default - 1						Image voucher only												2009-09-18T00:00:00				2009	9	18											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Southern Glades Wildlife and Environmental Area, SW 232 Avenue, 2.25 mi S State Road 9336								25.36832	-80.5658	10.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:43.575Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:43.575Z	2020-07-15T18:15:17.418Z	false			
1324147262																										57A4442F-DF50-4343-B17D-E49BB9662ADF										CC_BY_NC_4_0			2019-08-15T16:47:54Z																				UF	Herp			MACHINE_OBSERVATION			70 cm TL	57A4442F-DF50-4343-B17D-E49BB9662ADF	165946		Freer, Robert				MALE						default - 1						Image voucher only												2009-09-11T00:00:00				2009	9	11											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Southern Glades Wildlife and Environmental Area, SW 232 Avenue, 2.14 mi S State Road 9336								25.36968	-80.56587	10.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:45.519Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:45.519Z	2020-07-15T18:15:17.418Z	false			
1324147261																										E026AF77-1093-4A0B-AF2B-BCC162CA74B6										CC_BY_NC_4_0			2020-01-23T15:03:10Z																				UF	Herp			MACHINE_OBSERVATION				E026AF77-1093-4A0B-AF2B-BCC162CA74B6	165916		Bell, Mark										photograph-digital - 1						Image voucher only												2009-08-15T00:00:00				2009	8	15											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Everglades National Park, Main Park Road, 0.85 mi S Paurotis Pond								25.27099	-80.7984	10.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:44.120Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:44.120Z	2020-07-15T18:15:17.418Z	false			
1324147260																										91F45A74-09EE-461D-9E1B-8D7336461E3A										CC_BY_NC_4_0			2019-08-15T17:16:34Z																				UF	Herp			MACHINE_OBSERVATION				91F45A74-09EE-461D-9E1B-8D7336461E3A	165911		Holbrook, Joshua										photograph-digital - 3					EVER	Image vouchers only												2009-05-10T00:00:00				2009	5	10											North America, United States, Florida, Monroe	NORTH_AMERICA				US	Florida	Monroe		Everglades National Park, Flamingo, S marina								25.13928	-80.93071	50.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:44.019Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:44.019Z	2020-07-15T18:15:17.418Z	false			
1324147259																										FDC89859-06E2-4BD0-9390-7882764F1CCE										CC_BY_NC_4_0			2019-08-15T17:16:34Z																				UF	Herp			MACHINE_OBSERVATION			494 cm TL	FDC89859-06E2-4BD0-9390-7882764F1CCE	165921		Hill, Robert				FEMALE						photograph-digital - 3					EVER	Image vouchers only												2009-05-07T00:00:00				2009	5	7											North America, United States, Florida, Miami-Dade	NORTH_AMERICA				US	Florida	Miami-Dade		Everglades National Park, L-67E canal, 1.70 mi S US 41								25.7364	-80.67287	10.0																																																Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			832b8188-f762-11e1-a439-00145eb45e9a	US	2020-07-15T18:18:43.146Z								StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-15T18:18:43.146Z	2020-07-15T18:15:17.418Z	false			
